product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Summer play -  bin chickens on lemon yellow,Melco Fabrics,Art Print Fabric,6,105.000,0.000,0.000,105.000,10.500,115.500
Sea Turtles,Melco Fabrics,Art Print Fabric,6,105.460,0.000,0.000,105.460,10.540,116.000
Daisy garden appleblossom,Melco Fabrics,Art Print Fabric,6,99.550,0.000,0.000,99.550,9.950,109.500
Ghosts & Spider Webs  - Rust Red - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,6,103.640,0.000,0.000,103.640,10.360,114.000
Daisies Rust - Mel Armstrong,Melco Fabrics,Art Print Fabric,6,95.450,0.000,0.000,95.450,9.550,105.000
Neo Checker (Cocoa brown),Melco Fabrics,Art Print Fabric,5,86.360,0.000,0.000,86.360,8.640,95.000
Summer play -  playful palms in pink,Melco Fabrics,Art Print Fabric,5,88.640,0.000,0.000,88.640,8.860,97.500
Christmas  Mottlecah White Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,5,82.280,0.000,0.000,82.280,8.220,90.500
Dinos Junior,Melco Fabrics,Art Print Fabric,5,89.990,0.000,0.000,89.990,9.010,99.000
Summer play -  frilly floral in lilac and mustard,Melco Fabrics,Art Print Fabric,5,93.630,0.000,0.000,93.630,9.370,103.000
Koala Blossums,Melco Fabrics,Art Print Fabric,5,85.000,0.000,0.000,85.000,8.500,93.500
Bohemian Bloom Earth,Melco Fabrics,Art Print Fabric,5,79.550,0.000,0.000,79.550,7.950,87.500
Fairytale Green - The Scenic Route,Melco Fabrics,Art Print Fabric,5,79.550,0.000,0.000,79.550,7.950,87.500
Smiley faces (off white),Melco Fabrics,Art Print Fabric,5,91.820,-15.020,0.000,76.800,7.680,84.480
Echidna and Galah Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,5,85.010,0.000,0.000,85.010,8.490,93.500
Organic Checkerboard (blackest black),Melco Fabrics,Art Print Fabric,5,92.720,0.000,0.000,92.720,9.280,102.000
Tossed Pumpkins  - Halloween Orange - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,5,86.360,0.000,0.000,86.360,8.640,95.000
Daisy Shell Floral Pink,Melco Fabrics,Art Print Fabric,5,94.530,-7.500,0.000,87.030,8.710,95.740
Biscuit linen look,Melco Fabrics,Art Print Fabric,4,81.120,0.000,0.000,81.120,0.000,81.120
Watercolour - seafoam green painted chevron,Melco Fabrics,Art Print Fabric,4,69.090,0.000,0.000,69.090,6.910,76.000
Summer play -  playful palms in blue,Melco Fabrics,Art Print Fabric,4,70.910,0.000,0.000,70.910,7.090,78.000
Daisy Shell Floral White,Melco Fabrics,Art Print Fabric,4,69.090,0.000,0.000,69.090,6.910,76.000
